state_name_full,median_income,year,population,latitude,longitude,capital,region
Indiana,52314,2016,6634304,40.551217,-85.602364,Indianapolis,midwest
Iowa,56247,2016,3131371,41.878003,-93.097702,Des Moines,midwest
Kansas,54935,2016,2910844,39.011902,-98.484246,Topeka,midwest
Michigan,52491,2016,9950571,44.314844,-85.602364,Lansing,midwest
Minnesota,65599,2016,5522744,46.729553,-94.6859,Saint Paul,midwest
Missouri,51746,2016,6087135,37.964253,-91.831833,Jefferson City,midwest
Nebraska,56927,2016,1905616,41.492537,-99.901813,Lincoln,midwest
North Dakota,60656,2016,754434,47.551493,-101.002012,Bismarck,midwest
Ohio,52344,2016,11634370,40.417287,-82.907123,Columbus,midwest
South Dakota,54467,2016,862996,43.969515,-99.901813,Pierre,midwest
Wisconsin,56811,2016,5772628,43.78444,-88.787868,Madison,midwest
Connecticut,87005,2020,3605944,41.603221,-73.087749,Hartford,northeast
Maine,65800,2020,1362359,45.253783,-69.445469,Augusta,northeast
Massachusetts,87264,2020,7029917,42.407211,-71.382437,Boston,northeast
New Hampshire,86800,2020,1377529,43.193852,-71.572395,Concord,northeast
New Jersey,87352,2020,9288994,40.058324,-74.405661,Trenton,northeast
New York,71300,2020,20215751,43.299428,-74.217933,Albany,northeast
Pennsylvania,69913,2020,13002700,41.203322,-77.194525,Harrisburg,northeast
Rhode Island,70002,2020,1097379,41.580095,-71.477429,Providence,northeast
Vermont,73800,2020,643077,44.558803,-72.577841,Montpelier,northeast
Connecticut,73011,2019,3565287,41.603221,-73.087749,Hartford,northeast
Maine,58001,2019,1344212,45.253783,-69.445469,Augusta,northeast
Massachusetts,86651,2019,6949503,42.407211,-71.382437,Boston,northeast
New Hampshire,81000,2019,1359711,43.193852,-71.572395,Concord,northeast
New Jersey,74100,2019,8882190,40.058324,-74.405661,Trenton,northeast
New York,67105,2019,19453561,43.299428,-74.217933,Albany,northeast
Pennsylvania,64305,2019,12801989,41.203322,-77.194525,Harrisburg,northeast
Rhode Island,62341,2019,1059361,41.580095,-71.477429,Providence,northeast
Vermont,69844,2019,623989,44.558803,-72.577841,Montpelier,northeast
Connecticut,76348,2018,3571520,41.603221,-73.087749,Hartford,northeast
Maine,55602,2018,1339057,45.253783,-69.445469,Augusta,northeast
Massachusetts,79835,2018,6882635,42.407211,-71.382437,Boston,northeast
New Hampshire,74991,2018,1353465,43.193852,-71.572395,Concord,northeast
New Jersey,81740,2018,8886025,40.058324,-74.405661,Trenton,northeast
New York,67844,2018,19530351,43.299428,-74.217933,Albany,northeast
Pennsylvania,60905,2018,12800922,41.203322,-77.194525,Harrisburg,northeast
Rhode Island,64340,2018,1058287,41.580095,-71.477429,Providence,northeast
Vermont,60782,2018,624358,44.558803,-72.577841,Montpelier,northeast
Connecticut,74168,2017,3573297,41.603221,-73.087749,Hartford,northeast
Maine,55277,2017,1334612,45.253783,-69.445469,Augusta,northeast
Massachusetts,77385,2017,6859789,42.407211,-71.382437,Boston,northeast
New Hampshire,73381,2017,1348787,43.193852,-71.572395,Concord,northeast
New Jersey,80088,2017,8885525,40.058324,-74.405661,Trenton,northeast
New York,64894,2017,19589572,43.299428,-74.217933,Albany,northeast
Pennsylvania,59105,2017,12787641,41.203322,-77.194525,Harrisburg,northeast
Rhode Island,63870,2017,1055673,41.580095,-71.477429,Providence,northeast
